Date,USDCAD
2000-01-03,1.4461
2000-01-04,1.4518
2000-01-05,1.449
2000-01-06,1.459
2000-01-07,1.4553
2000-01-10,1.455
2000-01-11,1.4573
2000-01-12,1.4538
2000-01-13,1.4498
2000-01-14,1.4491
2000-01-17,1.4489
2000-01-18,1.4497
2000-01-19,1.4513
2000-01-20,1.4462
2000-01-21,1.4397
2000-01-24,1.4418
2000-01-25,1.4362
2000-01-26,1.4382
2000-01-27,1.4345
2000-01-28,1.4448
2000-01-31,1.4456
2000-02-01,1.4477
2000-02-02,1.4381
2000-02-03,1.4404
2000-02-04,1.4395
2000-02-07,1.4468
2000-02-08,1.4447
2000-02-09,1.4446
2000-02-10,1.4481
2000-02-11,1.4485
2000-02-14,1.4559
2000-02-15,1.455
2000-02-16,1.4524
2000-02-17,1.4499
2000-02-18,1.4506
2000-02-21,1.455
2000-02-22,1.461
2000-02-23,1.46
2000-02-24,1.4548
2000-02-25,1.4478
2000-02-28,1.4485
2000-02-29,1.4484
2000-03-01,1.4484
2000-03-02,1.4557
2000-03-03,1.4507
2000-03-06,1.4523
2000-03-07,1.4544
2000-03-08,1.4561
2000-03-09,1.4565
2000-03-10,1.4576
2000-03-13,1.4608
2000-03-14,1.4645
2000-03-15,1.4665
2000-03-16,1.4725
2000-03-17,1.4705
2000-03-20,1.4687
2000-03-21,1.4697
2000-03-22,1.4693
2000-03-23,1.469
2000-03-24,1.4616
2000-03-27,1.457
2000-03-28,1.4532
2000-03-29,1.4563
2000-03-30,1.4541
2000-03-31,1.4486
2000-04-03,1.4493
2000-04-04,1.452
2000-04-05,1.4501
2000-04-06,1.4525
2000-04-07,1.4579
2000-04-10,1.462
2000-04-11,1.4628
2000-04-12,1.4624
2000-04-13,1.472
2000-04-14,1.4763
2000-04-17,1.4847
2000-04-18,1.4803
2000-04-19,1.4752
2000-04-20,1.4738
2000-04-21,1.473
2000-04-24,1.4763
2000-04-25,1.4675
2000-04-26,1.4743
2000-04-27,1.4765
2000-04-28,1.4805
2000-05-01,1.4783
2000-05-02,1.4855
2000-05-03,1.4935
2000-05-04,1.4943
2000-05-05,1.4895
2000-05-08,1.4915
2000-05-09,1.4895
2000-05-10,1.4923
2000-05-11,1.487
2000-05-12,1.485
2000-05-15,1.4861
2000-05-16,1.4844
2000-05-17,1.4964
2000-05-18,1.4986
2000-05-19,1.4958
2000-05-22,1.4974
2000-05-23,1.5062
2000-05-24,1.5092
2000-05-25,1.5026
2000-05-26,1.5027
2000-05-29,1.4997
2000-05-30,1.5054
2000-05-31,1.4963
2000-06-01,1.4905
2000-06-02,1.476
2000-06-05,1.4788
2000-06-06,1.4768
2000-06-07,1.479
2000-06-08,1.4764
2000-06-09,1.4742
2000-06-12,1.4756
2000-06-13,1.4678
2000-06-14,1.4673
2000-06-15,1.4741
2000-06-16,1.4654
2000-06-19,1.4659
2000-06-20,1.4706
2000-06-21,1.473
2000-06-22,1.476
2000-06-23,1.4828
2000-06-26,1.4824
2000-06-27,1.48
2000-06-28,1.4779
2000-06-29,1.4821
2000-06-30,1.4799
2000-07-03,1.4804
2000-07-04,1.4847
2000-07-05,1.489
2000-07-06,1.4847
2000-07-07,1.4791
2000-07-10,1.478
2000-07-11,1.479
2000-07-12,1.482
2000-07-13,1.4812
2000-07-14,1.4835
2000-07-17,1.4814
2000-07-18,1.4758
2000-07-19,1.4764
2000-07-20,1.4723
2000-07-21,1.4702
2000-07-24,1.4644
2000-07-25,1.4661
2000-07-26,1.4646
2000-07-27,1.4717
2000-07-28,1.477
2000-07-31,1.4858
2000-08-01,1.487
2000-08-02,1.479
2000-08-03,1.4842
2000-08-04,1.4886
2000-08-07,1.4865
2000-08-08,1.4867
2000-08-09,1.4825
2000-08-10,1.4826
2000-08-11,1.4838
2000-08-14,1.4858
2000-08-15,1.4839
2000-08-16,1.4775
2000-08-17,1.4747
2000-08-18,1.4763
2000-08-21,1.477
2000-08-22,1.4762
2000-08-23,1.4858
2000-08-24,1.487
2000-08-25,1.4827
2000-08-28,1.4821
2000-08-29,1.4834
2000-08-30,1.477
2000-08-31,1.4717
2000-09-01,1.4728
2000-09-04,1.4733
2000-09-05,1.4758
2000-09-06,1.4812
2000-09-07,1.476
2000-09-08,1.4766
2000-09-11,1.48
2000-09-12,1.48
2000-09-13,1.4828
2000-09-14,1.4861
2000-09-15,1.4822
2000-09-18,1.4872
2000-09-19,1.483
2000-09-20,1.4842
2000-09-21,1.4867
2000-09-22,1.488
2000-09-25,1.485
2000-09-26,1.4856
2000-09-27,1.495
2000-09-28,1.4997
2000-09-29,1.5028
2000-10-02,1.5091
2000-10-03,1.5035
2000-10-04,1.4942
2000-10-05,1.4982
2000-10-06,1.5033
2000-10-09,1.5024
2000-10-10,1.5008
2000-10-11,1.5046
2000-10-12,1.516
2000-10-13,1.5062
2000-10-16,1.5178
2000-10-17,1.5182
2000-10-18,1.5166
2000-10-19,1.511
2000-10-20,1.5102
2000-10-23,1.5106
2000-10-24,1.5161
2000-10-25,1.5172
2000-10-26,1.5255
2000-10-27,1.5286
2000-10-30,1.5312
2000-10-31,1.522
2000-11-01,1.5335
2000-11-02,1.531
2000-11-03,1.5321
2000-11-06,1.5302
2000-11-07,1.5336
2000-11-08,1.5416
2000-11-09,1.549
2000-11-10,1.5424
2000-11-13,1.5446
2000-11-14,1.5462
2000-11-15,1.5525
2000-11-16,1.5554
2000-11-17,1.5572
2000-11-20,1.5581
2000-11-21,1.5502
2000-11-22,1.5458
2000-11-23,1.5444
2000-11-24,1.5384
2000-11-27,1.535
2000-11-28,1.5362
2000-11-29,1.5435
2000-11-30,1.5362
2000-12-01,1.5464
2000-12-04,1.5428
2000-12-05,1.5427
2000-12-06,1.5284
2000-12-07,1.529
2000-12-08,1.5162
2000-12-11,1.5267
2000-12-12,1.528
2000-12-13,1.5216
2000-12-14,1.5173
2000-12-15,1.5202
2000-12-18,1.5258
2000-12-19,1.5232
2000-12-20,1.5218
2000-12-21,1.52
2000-12-22,1.5174
2000-12-25,1.5183
2000-12-26,1.5096
2000-12-27,1.5116
2000-12-28,1.4999
2000-12-29,1.4983
