Date,CADEUR
2018-01-01,0.6637
2018-01-02,0.6627
2018-01-03,0.6641
2018-01-04,0.6636
2018-01-05,0.6699
2018-01-08,0.6727
2018-01-09,0.6721
2018-01-10,0.6671
2018-01-11,0.6639
2018-01-12,0.6587
2018-01-15,0.6561
2018-01-16,0.6559
2018-01-17,0.6597
2018-01-18,0.658
2018-01-19,0.6552
2018-01-22,0.6553
2018-01-23,0.6549
2018-01-24,0.6526
2018-01-25,0.6515
2018-01-26,0.654
2018-01-29,0.6545
2018-01-30,0.6538
2018-01-31,0.6538
2018-02-01,0.6517
2018-02-02,0.6458
2018-02-05,0.6449
2018-02-06,0.6468
2018-02-07,0.6488
2018-02-08,0.6479
2018-02-09,0.6498
2018-02-12,0.647
2018-02-13,0.643
2018-02-14,0.6431
2018-02-15,0.6409
2018-02-16,0.6419
2018-02-19,0.6417
2018-02-20,0.6408
2018-02-21,0.6409
2018-02-22,0.6383
2018-02-23,0.6441
2018-02-26,0.6402
2018-02-27,0.6398
2018-02-28,0.6391
2018-03-01,0.6349
2018-03-02,0.6303
2018-03-05,0.6253
2018-03-06,0.6261
2018-03-07,0.624
2018-03-08,0.6298
2018-03-09,0.6342
2018-03-12,0.6313
2018-03-13,0.6225
2018-03-14,0.6242
2018-03-15,0.6227
2018-03-16,0.6213
2018-03-19,0.6199
2018-03-20,0.6249
2018-03-21,0.6282
2018-03-22,0.6282
2018-03-23,0.6279
2018-03-26,0.6259
2018-03-27,0.6258
2018-03-28,0.6287
2018-03-29,0.6309
2018-03-30,0.6294
2018-04-02,0.6296
2018-04-03,0.6363
2018-04-04,0.6378
2018-04-05,0.6408
2018-04-06,0.6368
2018-04-09,0.6392
2018-04-10,0.6422
2018-04-11,0.6428
2018-04-12,0.6446
2018-04-13,0.643
2018-04-16,0.6429
2018-04-17,0.6442
2018-04-18,0.64
2018-04-19,0.6391
2018-04-20,0.6378
2018-04-23,0.6375
2018-04-24,0.637
2018-04-25,0.6403
2018-04-26,0.6421
2018-04-27,0.6427
2018-04-30,0.6446
2018-05-01,0.649
2018-05-02,0.6494
2018-05-03,0.6492
2018-05-04,0.6509
2018-05-07,0.6512
2018-05-08,0.6509
2018-05-09,0.6565
2018-05-10,0.6574
2018-05-11,0.6544
2018-05-14,0.6544
2018-05-15,0.6562
2018-05-16,0.6623
2018-05-17,0.6621
2018-05-18,0.6592
2018-05-21,0.6632
2018-05-22,0.6623
2018-05-23,0.6663
2018-05-24,0.6623
2018-05-25,0.6616
2018-05-28,0.6622
2018-05-29,0.6656
2018-05-30,0.6661
2018-05-31,0.6601
2018-06-01,0.6623
2018-06-04,0.6612
2018-06-05,0.658
2018-06-06,0.6562
2018-06-07,0.6533
2018-06-08,0.6574
2018-06-11,0.6539
2018-06-12,0.6542
2018-06-13,0.6531
2018-06-14,0.6597
2018-06-15,0.6524
2018-06-18,0.6518
2018-06-19,0.6495
2018-06-20,0.6492
2018-06-21,0.6473
2018-06-22,0.6464
2018-06-25,0.6427
2018-06-26,0.6451
2018-06-27,0.6489
2018-06-28,0.6525
2018-06-29,0.6517
2018-07-02,0.6515
2018-07-03,0.6529
2018-07-04,0.6527
2018-07-05,0.6513
2018-07-06,0.6507
2018-07-09,0.6492
2018-07-10,0.6494
2018-07-11,0.6486
2018-07-12,0.6513
2018-07-13,0.6502
2018-07-16,0.6502
2018-07-17,0.6502
2018-07-18,0.6524
2018-07-19,0.6472
2018-07-20,0.6489
2018-07-23,0.6492
2018-07-24,0.6505
2018-07-25,0.6535
2018-07-26,0.657
2018-07-27,0.6572
2018-07-30,0.6553
2018-07-31,0.6576
2018-08-01,0.6595
2018-08-02,0.6629
2018-08-03,0.6655
2018-08-06,0.6656
2018-08-07,0.6605
2018-08-08,0.6613
2018-08-09,0.6647
2018-08-10,0.6667
2018-08-13,0.6674
2018-08-14,0.6752
2018-08-15,0.6707
2018-08-16,0.6683
2018-08-17,0.6695
2018-08-20,0.6676
2018-08-21,0.663
2018-08-22,0.6634
2018-08-23,0.6624
2018-08-24,0.6605
2018-08-27,0.6603
2018-08-28,0.6613
2018-08-29,0.6619
2018-08-30,0.6602
2018-08-31,0.661
2018-09-03,0.6572
2018-09-04,0.6546
2018-09-05,0.6524
2018-09-06,0.6549
2018-09-07,0.6579
2018-09-10,0.6552
2018-09-11,0.6593
2018-09-12,0.6618
2018-09-13,0.6581
2018-09-14,0.6597
2018-09-17,0.6562
2018-09-18,0.6606
2018-09-19,0.6633
2018-09-20,0.6581
2018-09-21,0.659
2018-09-24,0.657
2018-09-25,0.6558
2018-09-26,0.6542
2018-09-27,0.6586
2018-09-28,0.6674
2018-10-01,0.674
2018-10-02,0.6753
2018-10-03,0.677
2018-10-04,0.672
2018-10-05,0.6707
2018-10-08,0.6712
2018-10-09,0.6722
2018-10-10,0.6643
2018-10-11,0.662
2018-10-12,0.6641
2018-10-15,0.6647
2018-10-16,0.668
2018-10-17,0.6679
2018-10-18,0.6673
2018-10-19,0.663
2018-10-22,0.6657
2018-10-23,0.6662
2018-10-24,0.6724
2018-10-25,0.6725
2018-10-26,0.6689
2018-10-29,0.6695
2018-10-30,0.6725
2018-10-31,0.6721
2018-11-01,0.6699
2018-11-02,0.6699
2018-11-05,0.6687
2018-11-06,0.6668
2018-11-07,0.6675
2018-11-08,0.669
2018-11-09,0.6677
2018-11-12,0.673
2018-11-13,0.6692
2018-11-14,0.6679
2018-11-15,0.6699
2018-11-16,0.6661
2018-11-19,0.663
2018-11-20,0.661
2018-11-21,0.6638
2018-11-22,0.6647
2018-11-23,0.6661
2018-11-26,0.6662
2018-11-27,0.6663
2018-11-28,0.6629
2018-11-29,0.6608
2018-11-30,0.6645
2018-12-03,0.6674
2018-12-04,0.6645
2018-12-05,0.6601
2018-12-06,0.657
2018-12-07,0.6598
2018-12-10,0.6574
2018-12-11,0.66
2018-12-12,0.6589
2018-12-13,0.6591
2018-12-14,0.6606
2018-12-17,0.6574
2018-12-18,0.6536
2018-12-19,0.6518
2018-12-20,0.6467
2018-12-21,0.6465
2018-12-24,0.6448
2018-12-25,0.6476
2018-12-26,0.649
2018-12-27,0.6424
2018-12-28,0.6408
2018-12-31,0.6393
2019-01-01,0.6396
2019-01-02,0.6493
2019-01-03,0.6506
2019-01-04,0.6563
2019-01-07,0.6553
2019-01-08,0.6584
2019-01-09,0.656
2019-01-10,0.657
2019-01-11,0.6573
2019-01-14,0.6559
2019-01-15,0.6605
2019-01-16,0.6619
2019-01-17,0.661
2019-01-18,0.6637
2019-01-21,0.6619
2019-01-22,0.6593
2019-01-23,0.6586
2019-01-24,0.6625
2019-01-25,0.6632
2019-01-28,0.66
2019-01-29,0.6593
2019-01-30,0.6625
2019-01-31,0.6658
2019-02-01,0.6661
2019-02-04,0.6666
2019-02-05,0.6672
2019-02-06,0.6658
2019-02-07,0.6621
2019-02-08,0.6644
2019-02-11,0.6665
2019-02-12,0.6669
2019-02-13,0.6698
2019-02-14,0.6655
2019-02-15,0.6684
2019-02-18,0.6676
2019-02-19,0.6674
2019-02-20,0.6692
2019-02-21,0.6665
2019-02-22,0.6709
2019-02-25,0.6672
2019-02-26,0.666
2019-02-27,0.6683
2019-02-28,0.6677
