Date,CADUSD
2018-01-01,0.7972
2018-01-02,0.7992
2018-01-03,0.7978
2018-01-04,0.8009
2018-01-05,0.8058
2018-01-08,0.8051
2018-01-09,0.8023
2018-01-10,0.797
2018-01-11,0.7988
2018-01-12,0.8027
2018-01-15,0.8045
2018-01-16,0.8042
2018-01-17,0.804
2018-01-18,0.8053
2018-01-19,0.8007
2018-01-22,0.8036
2018-01-23,0.8054
2018-01-24,0.8098
2018-01-25,0.8076
2018-01-26,0.8123
2018-01-29,0.8105
2018-01-30,0.8107
2018-01-31,0.812
2018-02-01,0.8153
2018-02-02,0.8047
2018-02-05,0.7975
2018-02-06,0.8005
2018-02-07,0.7956
2018-02-08,0.7934
2018-02-09,0.7951
2018-02-12,0.7953
2018-02-13,0.7942
2018-02-14,0.8006
2018-02-15,0.8014
2018-02-16,0.7964
2018-02-19,0.7961
2018-02-20,0.7906
2018-02-21,0.7873
2018-02-22,0.7871
2018-02-23,0.7917
2018-02-26,0.7886
2018-02-27,0.7827
2018-02-28,0.7793
2018-03-01,0.7789
2018-03-02,0.7764
2018-03-05,0.7713
2018-03-06,0.7766
2018-03-07,0.7745
2018-03-08,0.7754
2018-03-09,0.7804
2018-03-12,0.7789
2018-03-13,0.7713
2018-03-14,0.7719
2018-03-15,0.7661
2018-03-16,0.7635
2018-03-19,0.7647
2018-03-20,0.7651
2018-03-21,0.7752
2018-03-22,0.7728
2018-03-23,0.7756
2018-03-26,0.7788
2018-03-27,0.7762
2018-03-28,0.7738
2018-03-29,0.7763
2018-03-30,0.7755
2018-04-02,0.7744
2018-04-03,0.7808
2018-04-04,0.7831
2018-04-05,0.7844
2018-04-06,0.7823
2018-04-09,0.7875
2018-04-10,0.7934
2018-04-11,0.7949
2018-04-12,0.7946
2018-04-13,0.7928
2018-04-16,0.7958
2018-04-17,0.797
2018-04-18,0.7918
2018-04-19,0.7892
2018-04-20,0.7837
2018-04-23,0.7782
2018-04-24,0.7792
2018-04-25,0.7786
2018-04-26,0.7772
2018-04-27,0.7795
2018-04-30,0.7786
2018-05-01,0.7783
2018-05-02,0.7762
2018-05-03,0.7784
2018-05-04,0.7784
2018-05-07,0.7763
2018-05-08,0.7722
2018-05-09,0.778
2018-05-10,0.7833
2018-05-11,0.7817
2018-05-14,0.7805
2018-05-15,0.7768
2018-05-16,0.7821
