Date,CAD_Assets,CAD_Liabilities,Net_Exposure_CAD
2018-01-01,1002483.5707650562,200000,802483.5707650562
2018-01-02,999328.2403094806,200000,799328.2403094806
2018-01-03,1003277.5663211764,200000,803277.5663211764
2018-01-04,1007673.8347280495,200000,807673.8347280495
2018-01-05,998907.4803877291,200000,798907.4803877291
2018-01-06,998927.1242919364,200000,798927.1242919364
2018-01-07,1008013.4349695557,200000,808013.4349695557
2018-01-08,1003974.1063531198,200000,803974.1063531198
2018-01-09,997809.122593017,200000,797809.122593017
2018-01-10,1002888.856555958,200000,802888.856555958
2018-01-11,997878.5296893023,200000,797878.5296893023
2018-01-12,997886.5312008498,200000,797886.5312008498
2018-01-13,1001444.5531418677,200000,801444.5531418677
2018-01-14,990687.902376085,200000,790687.902376085
2018-01-15,991649.2762521453,200000,791649.2762521453
2018-01-16,997481.9895838421,200000,797481.9895838421
2018-01-17,995248.8334437113,200000,795248.8334437113
2018-01-18,1001903.7875236962,200000,801903.7875236962
2018-01-19,995811.9922984503,200000,795811.9922984503
2018-01-20,993310.1559847164,200000,793310.1559847164
2018-01-21,1007719.480151337,200000,807719.480151337
2018-01-22,999281.9166196331,200000,799281.9166196331
2018-01-23,1000768.0009608418,200000,800768.0009608418
2018-01-24,993326.1808216714,200000,793326.1808216714
2018-01-25,997747.5699454492,200000,797747.5699454492
2018-01-26,1001043.6583319609,200000,801043.6583319609
2018-01-27,994753.6393116366,200000,794753.6393116366
2018-01-28,1002406.6591058129,200000,802406.6591058129
2018-01-29,997544.5373798269,200000,797544.5373798269
2018-01-30,999108.8238957911,200000,799108.8238957911
2018-01-31,997578.3213989469,200000,797578.3213989469
2018-02-01,1009867.807197975,200000,809867.807197975
2018-02-02,1000558.4919670771,200000,800558.4919670771
2018-02-03,995356.9852613237,200000,795356.9852613237
2018-02-04,1004777.8262819557,200000,804777.8262819557
2018-02-05,994580.4452869211,200000,794580.4452869211
2018-02-06,1001748.5433271364,200000,801748.5433271364
2018-02-07,990925.4365480503,200000,790925.4365480503
2018-02-08,994102.4187382935,200000,794102.4187382935
2018-02-09,1001747.2169774676,200000,801747.2169774676
2018-02-10,1004474.8055134356,200000,804474.8055134356
2018-02-11,1001658.8758347449,200000,801658.8758347449
2018-02-12,1000243.3548321902,200000,800243.3548321902
2018-02-13,999335.6395815215,200000,799335.6395815215
2018-02-14,993468.1099229673,200000,793468.1099229673
2018-02-15,997281.0606481673,200000,797281.0606481673
2018-02-16,998596.6496506784,200000,798596.6496506784
2018-02-17,1006205.0164519084,200000,806205.0164519084
2018-02-18,1002657.0585839925,200000,802657.0585839925
2018-02-19,992143.328174673,200000,792143.328174673
2018-02-20,1002598.5106137971,200000,802598.5106137971
2018-02-21,999072.241180078,200000,799072.241180078
2018-02-22,997632.6043959663,200000,797632.6043959663
2018-02-23,1004095.1576570369,200000,804095.1576570369
2018-02-24,1006211.3356406487,200000,806211.3356406487
2018-02-25,1005732.3004390865,200000,805732.3004390865
2018-02-26,996899.3740427287,200000,796899.3740427287
2018-02-27,999568.9615949224,200000,799568.9615949224
2018-02-28,1002790.9024465326,200000,802790.9024465326
2018-03-01,1006031.8727404631,200000,806031.8727404631
2018-03-02,998777.8377309614,200000,798777.8377309614
2018-03-03,1000264.9758522052,200000,800264.9758522052
2018-03-04,995681.1576808306,200000,795681.1576808306
2018-03-05,995251.3612457939,200000,795251.3612457939
2018-03-06,1005314.5852935046,200000,805314.5852935046
2018-03-07,1008052.7181397242,200000,808052.7181397242
2018-03-08,1000931.0292043049,200000,800931.0292043049
2018-03-09,1006328.3061170032,200000,806328.3061170032
2018-03-10,1003138.3835681176,200000,803138.3835681176
