Date,Spot,USD_1M,USD_3M,CAD_1M,CAD_3M,Forward_1M,Forward_3M
2001-07-31,1.533,0.036699999999999997,0.0354,0.0408,0.0407,1.5324779998006777,1.5309892345385698
2001-08-01,1.536,0.0365,0.0353,0.0407,0.0403,1.5354642171966746,1.5340991510531397
2001-08-02,1.534,0.0365,0.0353,0.0407,0.0403,1.533464914830533,1.5321016261168725
2001-08-03,1.5288,0.0363,0.0352,0.0407,0.0403,1.5282413348061161,1.5268702225082293
2001-08-06,1.5249,0.0362,0.0352,0.0407,0.0403,1.5243300954263455,1.522975145409994
2001-08-07,1.5351,0.0363,0.0352,0.0407,0.0403,1.5345390326143828,1.5331622701284555
2001-08-08,1.5337,0.0361,0.0349,0.04,0.039900000000000005,1.533203203488372,1.531801809450729
2001-08-09,1.5387,0.0361,0.0345,0.04,0.039900000000000005,1.538201583887043,1.5366432708730413
2001-08-10,1.539,0.0358,0.034300000000000004,0.04,0.039900000000000005,1.5384631395348836,1.5368666798683133
2001-08-13,1.5376,0.035699999999999996,0.0345,0.04,0.039900000000000005,1.537050857142857,1.5355447412064658
2001-08-14,1.5351,0.0354,0.034300000000000004,0.04,0.039900000000000005,1.5345134999999999,1.5329720859427212
2001-08-15,1.5268,0.0352,0.034300000000000004,0.0394,0.039599999999999996,1.5262673688057542,1.5247968214674719
2001-08-16,1.5374,0.0348,0.0339,0.0394,0.039599999999999996,1.536812591989634,1.53523068125557
2001-08-17,1.5426,0.0346,0.0336,0.0394,0.039599999999999996,1.5419849793179061,1.5403087830478264
2001-08-20,1.5447,0.0348,0.0342,0.0394,0.039599999999999996,1.5441098028140936,1.5426350975344094
2001-08-21,1.5479,0.0346,0.0339,0.0394,0.039599999999999996,1.5472828662557936,1.5457158654322212
2001-08-22,1.5406,0.0346,0.0338,0.0392,0.039,1.5400113595587746,1.5386165585540978
2001-08-23,1.5397,0.0349,0.034,0.0392,0.039,1.5391500706026977,1.5377939589007181
2001-08-24,1.5387,0.0349,0.0342,0.0392,0.039,1.5381504277692868,1.5368713889576628
2001-08-27,1.5397,0.0352,0.0345,0.0392,0.039,1.5391884377699514,1.5379845630106466
2001-08-28,1.5388,0.0353,0.0341,0.0392,0.039,1.5383015183733135,1.536933171577123
2001-08-29,1.545,0.0348,0.0342,0.0381,0.038,1.5445764697086748,1.5435460624071322
2001-08-30,1.5445,0.0341,0.0336,0.0381,0.038,1.5439867960890838,1.5428170381376918
2001-08-31,1.5507,0.034,0.0337,0.0381,0.038,1.5501718543623995,1.5490486849925702
2001-09-03,1.5508,0.034,0.0337,0.0381,0.038,1.5502718203038683,1.5491485785042096
2001-09-04,1.5583,0.034300000000000004,0.0344,0.0381,0.038,1.5578081001154669,1.5569107280832093
2001-09-05,1.5561,0.0349,0.0341,0.0379,0.0378,1.555712199802291,1.5546740824211203
2001-09-06,1.5568,0.0344,0.0334,0.0379,0.0378,1.5563473629121354,1.5551035514389024
2001-09-07,1.565,0.034,0.0327,0.0379,0.0378,1.5644929763496953,1.5630233047699242
2001-09-10,1.5626,0.034,0.0326,0.0379,0.0378,1.5620937538939514,1.5605876368319385
