"Date","Price","Open","High","Low","Vol.","Change %"
"05/13/2025","0.7177","0.7176","0.7180","0.7134","","0.29%"
"05/12/2025","0.7156","0.7178","0.7199","0.7135","","-0.26%"
"05/09/2025","0.7175","0.7181","0.7192","0.7171","","-0.08%"
"05/08/2025","0.7181","0.7227","0.7240","0.7177","","-0.62%"
"05/07/2025","0.7226","0.7256","0.7266","0.7225","","-0.44%"
"05/06/2025","0.7258","0.7235","0.7273","0.7222","","0.35%"
"05/05/2025","0.7233","0.7249","0.7254","0.7231","","-0.04%"
"05/02/2025","0.7236","0.7218","0.7268","0.7216","","0.25%"
"05/01/2025","0.7218","0.7248","0.7255","0.7213","","-0.40%"
"04/30/2025","0.7247","0.7229","0.7263","0.7217","","0.25%"
"04/29/2025","0.7229","0.7231","0.7243","0.7209","","-0.03%"
"04/28/2025","0.7231","0.7212","0.7238","0.7198","","0.19%"
"04/25/2025","0.7217","0.7220","0.7223","0.7198","","-0.04%"
"04/24/2025","0.7220","0.7203","0.7226","0.7194","","0.22%"
"04/23/2025","0.7204","0.7238","0.7248","0.7191","","-0.47%"
"04/22/2025","0.7238","0.7225","0.7251","0.7214","","0.21%"
"04/21/2025","0.7223","0.7224","0.7257","0.7220","","0.03%"
"04/18/2025","0.7221","0.7222","0.7230","0.7209","","-0.07%"
"04/17/2025","0.7226","0.7215","0.7232","0.7191","","0.17%"
"04/16/2025","0.7214","0.7166","0.7218","0.7160","","0.68%"
"04/15/2025","0.7165","0.7210","0.7221","0.7153","","-0.56%"
"04/14/2025","0.7205","0.7210","0.7232","0.7188","","-0.10%"
"04/11/2025","0.7212","0.7152","0.7226","0.7147","","0.85%"
"04/10/2025","0.7151","0.7100","0.7168","0.7086","","0.72%"
"04/09/2025","0.7100","0.7011","0.7105","0.7005","","1.30%"
"04/08/2025","0.7009","0.7019","0.7071","0.7006","","-0.11%"
"04/07/2025","0.7017","0.7028","0.7053","0.6994","","-0.20%"
"04/04/2025","0.7031","0.7097","0.7116","0.7013","","-0.86%"
"04/03/2025","0.7092","0.7024","0.7130","0.6984","","0.94%"
"04/02/2025","0.7026","0.6989","0.7028","0.6960","","0.49%"
"04/01/2025","0.6992","0.6952","0.6994","0.6937","","0.60%"
"03/31/2025","0.6950","0.6988","0.6994","0.6946","","-0.47%"
"03/28/2025","0.6983","0.6990","0.7005","0.6976","","-0.10%"
"03/27/2025","0.6990","0.7010","0.7014","0.6979","","-0.26%"
"03/26/2025","0.7008","0.7003","0.7025","0.6993","","0.09%"
"03/25/2025","0.7002","0.6984","0.7008","0.6977","","0.29%"
"03/24/2025","0.6982","0.6969","0.6999","0.6965","","0.19%"
"03/21/2025","0.6969","0.6981","0.6987","0.6957","","-0.14%"
"03/20/2025","0.6979","0.6981","0.6988","0.6944","","0.00%"
"03/19/2025","0.6979","0.6993","0.6996","0.6969","","-0.19%"
"03/18/2025","0.6992","0.6998","0.7008","0.6983","","-0.07%"
"03/17/2025","0.6997","0.6953","0.7006","0.6953","","0.55%"
"03/14/2025","0.6959","0.6927","0.6967","0.6921","","0.52%"
"03/13/2025","0.6923","0.6959","0.6965","0.6919","","-0.52%"
"03/12/2025","0.6959","0.6928","0.6968","0.6903","","0.48%"
"03/11/2025","0.6926","0.6926","0.6955","0.6886","","0.01%"
"03/10/2025","0.6925","0.6955","0.6968","0.6909","","-0.40%"
"03/07/2025","0.6953","0.6994","0.7004","0.6931","","-0.59%"
"03/06/2025","0.6994","0.6974","0.7022","0.6956","","0.32%"
"03/05/2025","0.6972","0.6946","0.6979","0.6920","","0.36%"
"03/04/2025","0.6947","0.6905","0.6959","0.6876","","0.62%"
"03/03/2025","0.6904","0.6913","0.6960","0.6877","","-0.13%"
"02/28/2025","0.6913","0.6924","0.6945","0.6909","","-0.19%"
"02/27/2025","0.6926","0.6975","0.6983","0.6920","","-0.69%"
"02/26/2025","0.6974","0.6986","0.6996","0.6959","","-0.16%"
