Date,Price,Open,High,Low,Vol.,Change %
05/16/2025,1.3991,1.3956,1.3996,1.3935,,0.25%
05/15/2025,1.3956,1.3983,1.4006,1.3952,,-0.19%
05/14/2025,1.3983,1.3935,1.3988,1.3901,,0.34%
05/13/2025,1.3935,1.3975,1.4017,1.3931,,-0.29%
05/12/2025,1.3975,1.3931,1.4017,1.3891,,0.27%
05/09/2025,1.3937,1.3926,1.3946,1.3906,,0.09%
05/08/2025,1.3925,1.3839,1.3934,1.3813,,0.62%
05/07/2025,1.3839,1.3779,1.3841,1.3763,,0.44%
05/06/2025,1.3778,1.3822,1.3847,1.375,,-0.35%
05/05/2025,1.3826,1.3786,1.384,1.3777,,0.04%
05/02/2025,1.3821,1.3854,1.3859,1.3759,,-0.25%
05/01/2025,1.3855,1.3797,1.3864,1.3784,,0.41%
04/30/2025,1.3799,1.3834,1.3857,1.3769,,-0.25%
04/29/2025,1.3834,1.383,1.3872,1.3808,,0.03%
04/28/2025,1.383,1.3862,1.3893,1.3816,,-0.19%
04/25/2025,1.3857,1.3851,1.3893,1.3845,,0.04%
04/24/2025,1.3851,1.3885,1.3901,1.3839,,-0.23%
04/23/2025,1.3883,1.3817,1.3906,1.3797,,0.48%
04/22/2025,1.3817,1.3842,1.3863,1.3792,,-0.17%
04/21/2025,1.3841,1.3843,1.3852,1.378,,-0.05%
04/18/2025,1.3848,1.3847,1.3872,1.3833,,0.12%
04/17/2025,1.3832,1.3862,1.3908,1.3828,,-0.17%
04/16/2025,1.3855,1.3954,1.3967,1.3855,,-0.70%
04/15/2025,1.3953,1.387,1.398,1.3849,,0.58%
04/14/2025,1.3873,1.3871,1.3912,1.3828,,0.06%
04/11/2025,1.3864,1.3983,1.3992,1.3838,,-0.83%
04/10/2025,1.398,1.4085,1.4112,1.3951,,-0.74%
04/09/2025,1.4084,1.4263,1.4275,1.4074,,-1.25%
04/08/2025,1.4262,1.4249,1.4273,1.4143,,0.11%
04/07/2025,1.4247,1.425,1.4298,1.4178,,0.20%
04/04/2025,1.4218,1.4092,1.4261,1.4053,,0.87%
04/03/2025,1.4095,1.4236,1.432,1.4027,,-0.95%
04/02/2025,1.423,1.4303,1.4368,1.4228,,-0.50%
04/01/2025,1.4301,1.4386,1.4417,1.4298,,-0.60%
03/31/2025,1.4387,1.4311,1.4397,1.4299,,0.49%
03/28/2025,1.4317,1.4306,1.4335,1.4276,,0.09%
03/27/2025,1.4304,1.4267,1.433,1.4259,,0.28%
03/26/2025,1.4264,1.428,1.43,1.4234,,-0.09%
03/25/2025,1.4277,1.432,1.4333,1.4271,,-0.29%
03/24/2025,1.4318,1.435,1.4358,1.4289,,-0.22%
03/21/2025,1.4349,1.4326,1.4375,1.4313,,0.18%
03/20/2025,1.4323,1.4326,1.4402,1.4312,,-0.01%
03/19/2025,1.4324,1.4301,1.4351,1.4295,,0.17%
03/18/2025,1.4299,1.429,1.4322,1.4269,,0.08%
03/17/2025,1.4288,1.4383,1.4384,1.4274,,-0.56%
03/14/2025,1.4369,1.4438,1.4449,1.4355,,-0.48%
03/13/2025,1.4439,1.4371,1.4453,1.4358,,0.49%
03/12/2025,1.4368,1.4436,1.4486,1.4353,,-0.44%
03/11/2025,1.4432,1.4439,1.4522,1.4379,,-0.02%
03/10/2025,1.4435,1.4379,1.4473,1.4353,,0.40%
03/07/2025,1.4377,1.4297,1.4428,1.4279,,0.57%
03/06/2025,1.4295,1.4341,1.4377,1.4242,,-0.29%
03/05/2025,1.4337,1.4397,1.4451,1.433,,-0.35%
03/04/2025,1.4388,1.4484,1.4543,1.4371,,-0.62%
03/03/2025,1.4478,1.4467,1.4543,1.4369,,0.09%
02/28/2025,1.4465,1.4442,1.4473,1.4399,,0.19%
02/27/2025,1.4438,1.4336,1.4451,1.4321,,0.70%
02/26/2025,1.4337,1.4314,1.437,1.4293,,0.17%
02/25/2025,1.4312,1.4261,1.4319,1.4239,,0.37%
02/24/2025,1.4259,1.4219,1.4269,1.4181,,0.27%
02/21/2025,1.422,1.4177,1.4238,1.4168,,0.32%
02/20/2025,1.4174,1.4237,1.4246,1.4166,,-0.42%
02/19/2025,1.4234,1.42,1.4247,1.4175,,0.26%
02/18/2025,1.4197,1.4183,1.4214,1.4179,,0.12%
02/17/2025,1.418,1.4181,1.4196,1.4159,,-0.01%
02/14/2025,1.4181,1.4194,1.4203,1.4151,,-0.07%
02/13/2025,1.4191,1.4304,1.4308,1.4183,,-0.80%
02/12/2025,1.4305,1.4287,1.4344,1.4255,,0.15%
02/11/2025,1.4283,1.4317,1.4347,1.4278,,-0.22%
02/10/2025,1.4315,1.4297,1.4381,1.4289,,0.15%
02/07/2025,1.4294,1.431,1.4347,1.4272,,-0.10%
02/06/2025,1.4308,1.4314,1.4368,1.4301,,0.01%
02/05/2025,1.4307,1.4322,1.4346,1.4269,,-0.10%
02/04/2025,1.4321,1.4428,1.4504,1.4301,,-0.74%
02/03/2025,1.4428,1.4689,1.4794,1.4389,,-0.66%
01/31/2025,1.4524,1.4491,1.456,1.4372,,0.25%
01/30/2025,1.4488,1.4421,1.4595,1.4392,,0.49%
01/29/2025,1.4417,1.44,1.4473,1.4391,,0.13%
01/28/2025,1.4398,1.4373,1.4421,1.4368,,0.19%
01/27/2025,1.437,1.4345,1.4402,1.4333,,0.20%
01/24/2025,1.4342,1.4383,1.4385,1.4314,,-0.29%
01/23/2025,1.4383,1.4373,1.4415,1.4333,,0.06%
01/22/2025,1.4375,1.4323,1.4393,1.4301,,0.39%
01/21/2025,1.4319,1.4304,1.4516,1.4289,,0.09%
01/20/2025,1.4306,1.4461,1.4487,1.4261,,-1.20%
01/17/2025,1.448,1.4394,1.4485,1.4381,,0.60%
