Contract_ID,Contract_Date,Close_Date,Start_Spot,End_Spot,Contract_Forward,Contract_Forward_TC,Exposure,Hedged_Exposure,Fee,Partial_Hedged,Partial_Hedged_TC,Full_Hedged,Full_Hedged_TC,Unhedged,Spot_Change,Cum_Partial_Hedged,Cum_Partial_Hedged_TC,Cum_Full_Hedged,Cum_Full_Hedged_TC,Cum_Unhedged,Year
1,2008-01-01,2008-02-01,0.992,0.9926,0.9912417918383624,0.9911417918383624,800000.0,400000.0,80.0,-63.28326465503409,-183.2832646550297,-606.5665293101041,-846.5665293100953,480.0000000000359,0.0006000000000000449,-63.28326465503409,-183.2832646550297,-606.5665293101041,-846.5665293100953,480.0000000000359,2008
2,2008-02-01,2008-03-03,0.9926,0.9891,0.9912390310786108,0.9911390310786108,800000.0,400000.0,80.0,-1944.3875685557277,-2064.387568555723,-1088.7751371114084,-1328.7751371113998,-2800.000000000047,-0.0035000000000000586,-2007.6708332107619,-2247.670833210753,-1695.3416664215124,-2175.341666421495,-2320.000000000011,2008
3,2008-03-03,2008-04-01,0.9891,1.0223,0.9880888856568208,0.9879888856568209,800000.0,400000.0,80.0,12875.55426272835,12755.554262728356,-808.8914745433051,-1048.8914745432962,26560.000000000007,0.03320000000000001,10867.883429517588,10507.883429517602,-2504.2331409648177,-3224.2331409647913,24239.999999999996,2008
4,2008-04-01,2008-05-01,1.0223,1.0206,1.022172393276192,1.022072393276192,800000.0,400000.0,80.0,-731.0426895232424,-851.042689523238,-102.08537904645709,-342.0853790464483,-1360.0000000000277,-0.0017000000000000348,10136.840739994344,9656.840739994364,-2606.318520011275,-3566.31852001124,22879.999999999967,2008
5,2008-05-01,2008-06-02,1.0206,1.0014,1.019284771944994,1.019184771944994,800000.0,400000.0,80.0,-8206.091222002331,-8326.091222002327,-1052.1824440047567,-1292.1824440047478,-15359.999999999907,-0.019199999999999884,1930.7495179920134,1330.749517992037,-3658.5009640160315,-4858.500964015988,7520.00000000006,2008
6,2008-06-02,2008-07-01,1.0014,1.0222,1.000892034426843,1.000792034426843,800000.0,400000.0,80.0,8116.813770737164,7996.813770737169,-406.37245852561676,-646.372458525608,16639.999999999945,0.02079999999999993,10047.563288729178,9327.563288729205,-4064.8734225416483,-5504.873422541596,24160.000000000007,2008
7,2008-07-01,2008-08-01,1.0222,1.0269,1.0218259290062877,1.0217259290062877,800000.0,400000.0,80.0,1730.3716025150352,1610.3716025150395,-299.256794969871,-539.2567949698622,3759.9999999999413,0.0046999999999999265,11777.934891244213,10937.934891244244,-4364.13021751152,-6044.130217511458,27919.99999999995,2008
8,2008-08-01,2008-09-01,1.0269,1.0667,1.0262337918988609,1.026133791898861,800000.0,400000.0,80.0,15653.516759544407,15533.51675954441,-532.9664809112344,-772.9664809112256,31840.000000000047,0.03980000000000006,27431.451650788622,26471.451650788655,-4897.096698422754,-6817.096698422683,59760.0,2008
9,2008-09-01,2008-10-01,1.0667,1.0616,1.0661765076275558,1.0660765076275558,800000.0,400000.0,80.0,-2249.396948977633,-2369.396948977629,-418.7938979553607,-658.7938979553519,-4079.999999999906,-0.005099999999999882,25182.05470181099,24102.054701811026,-5315.890596378115,-7475.890596378035,55680.000000000095,2008
10,2008-10-01,2008-11-03,1.0616,1.1815,1.0610785898022894,1.0609785898022894,800000.0,400000.0,80.0,47751.43592091568,47631.43592091569,-417.12815816854487,-657.1281581685361,95919.99999999991,0.1198999999999999,72933.49062272668,71733.49062272672,-5733.018754546661,-8133.0187545465715,151600.0,2008
11,2008-11-03,2008-12-01,1.1815,1.2437,1.179877938178641,1.179777938178641,800000.0,400000.0,80.0,24231.175271456443,24111.175271456446,-1297.6494570871466,-1537.6494570871378,49760.00000000003,0.06220000000000003,97164.66589418313,95844.66589418317,-7030.668211633807,-9670.668211633709,201360.00000000003,2008
12,2008-12-01,2009-01-01,1.2437,1.2204,1.2418993809440604,1.2417993809440604,800000.0,400000.0,80.0,-10040.247622375899,-10160.247622375893,-1440.4952447517162,-1680.4952447517073,-18640.00000000008,-0.0233000000000001,87124.41827180723,85684.41827180728,-8471.163456385522,-11351.163456385417,182719.99999999994,2008
13,2009-01-01,2009-02-02,1.2204,1.2423,1.2197901608215138,1.2196901608215138,800000.0,400000.0,80.0,8516.064328605566,8396.064328605571,-487.87134278889255,-727.8713427888838,17520.000000000025,0.02190000000000003,95640.4826004128,94080.48260041286,-8959.034799174415,-12079.0347991743,200239.99999999997,2009
14,2009-02-02,2009-03-02,1.2423,1.2905,1.2418033572921785,1.2417033572921785,800000.0,400000.0,80.0,19081.342916871425,18961.34291687143,-397.31416625716776,-637.314166257159,38560.000000000015,0.04820000000000002,114721.82551728422,113041.82551728428,-9356.348965431582,-12716.34896543146,238800.0,2009
15,2009-03-02,2009-04-01,1.2905,1.26,1.29007003756549,1.2899700375654901,800000.0,400000.0,80.0,-12371.984973803941,-12491.984973803936,-343.9699476079028,-583.969947607894,-24399.999999999978,-0.03049999999999997,102349.84054348027,100549.84054348034,-9700.318913039484,-13300.318913039355,214400.00000000003,2009
16,2009-04-01,2009-05-01,1.26,1.1851,1.2598320475865172,1.2597320475865172,800000.0,400000.0,80.0,-30027.180965393094,-30147.18096539309,-134.36193078621983,-374.361930786211,-59919.99999999997,-0.07489999999999997,72322.65957808717,70402.65957808724,-9834.680843825703,-13674.680843825567,154480.00000000006,2009
17,2009-05-01,2009-06-01,1.1851,1.0907,1.185011128608924,1.184911128608924,800000.0,400000.0,80.0,-37795.54855643043,-37915.54855643043,-71.09711286084064,-311.0971128608318,-75520.00000000003,-0.09440000000000004,34527.11102165674,32487.111021656812,-9905.777956686543,-13985.7779566864,78960.00000000003,2009
18,2009-06-01,2009-07-01,1.0907,1.1483,1.0906727361351822,1.0905727361351822,800000.0,400000.0,80.0,23029.094454072932,22909.094454072936,-21.811091854218034,-261.8110918542092,46080.00000000008,0.057600000000000096,57556.20547572967,55396.205475729745,-9927.589048540762,-14247.589048540609,125040.00000000012,2009
19,2009-07-01,2009-08-03,1.1483,1.0657,1.1482521613424652,1.1481521613424652,800000.0,400000.0,80.0,-33059.135463013954,-33179.13546301395,-38.270926027905716,-278.2709260278969,-66080.0,-0.0826,24497.070012715718,22217.070012715798,-9965.859974568668,-14525.859974568506,58960.00000000012,2009
20,2009-08-03,2009-09-01,1.0657,1.1035,1.0656733614957756,1.0655733614957756,800000.0,400000.0,80.0,15109.344598310148,14989.344598310152,-21.310803379570586,-261.3108033795618,30239.999999999865,0.037799999999999834,39606.414611025866,37206.414611025946,-9987.170777948239,-14787.170777948068,89199.99999999999,2009
21,2009-09-01,2009-10-01,1.1035,1.0836,1.1034632203446322,1.1033632203446322,800000.0,400000.0,80.0,-7974.711862147111,-8094.711862147106,-29.423724294197484,-269.4237242941887,-15920.000000000024,-0.01990000000000003,31631.702748878757,29111.70274887884,-10016.594502242437,-15056.594502242257,73279.99999999996,2009
22,2009-10-01,2009-11-02,1.0836,1.0778,1.0834645703144523,1.0833645703144523,800000.0,400000.0,80.0,-2374.1718742189555,-2494.1718742189514,-108.34374843806671,-348.3437484380579,-4639.9999999998445,-0.005799999999999805,29257.530874659802,26617.53087465989,-10124.938250680503,-15404.938250680314,68640.00000000012,2009
23,2009-11-02,2009-12-01,1.0778,1.0465,1.077665295205719,1.077565295205719,800000.0,400000.0,80.0,-12573.881917712448,-12693.881917712444,-107.76383542481227,-347.76383542480346,-25040.000000000084,-0.031300000000000106,16683.648956947356,13923.648956947445,-10232.702086105315,-15752.702086105117,43600.00000000003,2009
24,2009-12-01,2010-01-01,1.0465,1.0517,1.0464302432155443,1.0463302432155444,800000.0,400000.0,80.0,2052.09728621778,1932.0972862177844,-55.80542756451479,-295.805427564506,4160.000000000075,0.0052000000000000934,18735.746243165137,15855.74624316523,-10288.50751366983,-16048.507513669623,47760.0000000001,2009
25,2010-01-01,2010-02-01,1.0517,1.0616,1.051621131044137,1.051521131044137,800000.0,400000.0,80.0,3928.452417654782,3808.4524176547866,-63.095164690452066,-303.09516469044326,7920.000000000016,0.00990000000000002,22664.19866081992,19664.198660820017,-10351.602678360283,-16351.602678360066,55680.00000000012,2010
26,2010-02-01,2010-03-01,1.0616,1.0418,1.0615292343329474,1.0614292343329474,800000.0,400000.0,80.0,-7948.306266821081,-8068.306266821078,-56.61253364213081,-296.612533642122,-15840.000000000033,-0.01980000000000004,14715.892393998838,11595.89239399894,-10408.215212002413,-16648.21521200219,39840.00000000009,2010
27,2010-03-01,2010-04-01,1.0418,1.0084,1.0417565967303817,1.0416565967303817,800000.0,400000.0,80.0,-13377.36130784739,-13497.361307847386,-34.72261569470447,-274.72261569469566,-26720.000000000076,-0.033400000000000096,1338.531086151448,-1901.4689138484464,-10442.937827697118,-16922.937827696886,13120.000000000011,2010
28,2010-04-01,2010-05-03,1.0084,1.0106,1.008366392267955,1.0082663922679551,800000.0,400000.0,80.0,866.5569071820478,746.5569071820522,-26.886185635888182,-266.8861856358794,1759.9999999999839,0.0021999999999999797,2205.087993333496,-1154.912006666394,-10469.824013333007,-17189.824013332764,14879.999999999995,2010
29,2010-05-03,2010-06-01,1.0106,1.0549,1.010566318385575,1.010466318385575,800000.0,400000.0,80.0,17706.527354230064,17586.527354230067,-26.945291539881566,-266.94529153987276,35440.00000000001,0.044300000000000006,19911.61534756356,16431.615347563675,-10496.769304872889,-17456.769304872636,50320.0,2010
30,2010-06-01,2010-07-01,1.0549,1.0588,1.0549,1.0548,800000.0,400000.0,80.0,1560.000000000006,1440.0000000000102,0.0,-239.9999999999912,3120.000000000012,0.0039000000000000146,21471.615347563566,17871.615347563686,-10496.769304872889,-17696.76930487263,53440.000000000015,2010
31,2010-07-01,2010-08-02,1.0588,1.023,1.05869414469957,1.05859414469957,800000.0,400000.0,80.0,-14362.342120172045,-14482.342120172041,-84.6842403440462,-324.6842403440374,-28640.000000000044,-0.035800000000000054,7109.273227391521,3389.2732273916445,-10581.453545216935,-18021.453545216667,24799.99999999997,2010
32,2010-08-02,2010-09-01,1.023,1.0499,1.0226506351255675,1.0225506351255675,800000.0,400000.0,80.0,10620.254050227108,10500.254050227111,-279.4918995459028,-519.4918995458941,21520.000000000116,0.026900000000000146,17729.52727761863,13889.527277618756,-10860.945444762838,-18540.94544476256,46320.00000000009,2010
33,2010-09-01,2010-10-01,1.0499,1.02,1.049523970714399,1.049423970714399,800000.0,400000.0,80.0,-12110.41171424041,-12230.411714240405,-300.8234284807898,-540.823428480781,-23920.00000000003,-0.029900000000000038,5619.115563378218,1659.115563378351,-11161.768873243627,-19081.76887324334,22400.00000000006,2010
34,2010-10-01,2010-11-01,1.02,1.0157,1.019413910262816,1.019313910262816,800000.0,400000.0,80.0,-1954.4358948736294,-2074.4358948736253,-468.8717897472827,-708.8717897472739,-3439.9999999999764,-0.0042999999999999705,3664.679668504589,-415.32033149527433,-11630.64066299091,-19790.640662990616,18960.00000000008,2010
35,2010-11-01,2010-12-01,1.0157,1.0166,1.015082563474814,1.014982563474814,800000.0,400000.0,80.0,113.0253899255251,-6.97461007447049,-493.94922014887044,-733.9492201488616,719.9999999999206,0.0008999999999999009,3777.7050584301137,-422.2949415697448,-12124.58988313978,-20524.589883139477,19680.0,2010
36,2010-12-01,2011-01-03,1.0166,0.9932,1.015939732711603,1.015839732711603,800000.0,400000.0,80.0,-9624.106915358732,-9744.106915358729,-528.2138307174832,-768.2138307174745,-18719.99999999998,-0.023399999999999976,-5846.401856928618,-10166.401856928473,-12652.803713857264,-21292.803713856953,960.0000000000182,2010
37,2011-01-03,2011-02-01,0.9932,0.9903,0.9925301035872498,0.9924301035872498,800000.0,400000.0,80.0,-1427.9585651000737,-1547.9585651000693,-535.9171302001364,-775.9171302001276,-2320.000000000011,-0.0029000000000000137,-7274.360422028692,-11714.360422028542,-13188.7208440574,-22068.72084405708,-1359.9999999999927,2011
38,2011-02-01,2011-03-01,0.9903,0.974,0.9897062554126974,0.9896062554126974,800000.0,400000.0,80.0,-6757.497834921011,-6877.497834921007,-474.99566984203767,-714.9956698420289,-13039.999999999985,-0.01629999999999998,-14031.858256949703,-18591.85825694955,-13663.716513899437,-22783.716513899108,-14399.999999999978,2011
39,2011-03-01,2011-04-01,0.974,0.9634,0.9733187166398812,0.9732187166398812,800000.0,400000.0,80.0,-4512.513344047476,-4632.513344047471,-545.0266880949961,-785.0266880949873,-8479.999999999955,-0.010599999999999943,-18544.37160099718,-23224.37160099702,-14208.743201994434,-23568.743201994093,-22879.999999999935,2011
40,2011-04-01,2011-05-02,0.9634,0.9502,0.9627100750276878,0.9626100750276878,800000.0,400000.0,80.0,-5555.969988924891,-5675.969988924887,-551.9399778497914,-791.9399778497825,-10559.99999999999,-0.01319999999999999,-24100.34158992207,-28900.341589921907,-14760.683179844225,-24360.683179843876,-33439.99999999993,2011
