Contract_ID,Contract_Date,Next_3M_Date,Start_Spot,End_Spot,Contract_Forward,Exposure,Partial_Hedged,Unhedged,Spot_Change
1,2008-01-01,2008-04-01,0.992,1.0223,0.9907718516317536,800000.0,-982.5186945970898,24239.999999999996,0.030299999999999994
2,2008-02-01,2008-05-01,0.9926,1.0206,0.9893767135172654,800000.0,-2578.6291861876975,22399.99999999993,0.027999999999999914
3,2008-03-03,2008-06-02,0.9891,1.0014,0.985322562245809,800000.0,-3021.950203352741,9840.000000000071,0.012300000000000089
4,2008-04-01,2008-07-01,1.0223,1.0222,1.021485661654884,800000.0,-651.4706760928135,-79.99999999999119,-9.999999999998899e-05
5,2008-05-01,2008-08-01,1.0206,1.0269,1.017482541968809,800000.0,-2493.966424952809,5039.999999999978,0.006299999999999972
6,2008-06-02,2008-09-01,1.0014,1.0667,0.9993359243071424,800000.0,-1651.2605542861713,52239.999999999935,0.06529999999999991
7,2008-07-01,2008-10-01,1.0222,1.0616,1.0203465325385,800000.0,-1482.7739692000464,31520.00000000008,0.0394000000000001
8,2008-08-01,2008-11-03,1.0269,1.1815,1.024986093784946,800000.0,-1531.124972043152,123680.00000000006,0.15460000000000007
9,2008-09-01,2008-12-01,1.0667,1.2437,1.064844500770339,800000.0,-1484.3993837287073,141600.00000000003,0.17700000000000005
10,2008-10-01,2009-01-01,1.0616,1.2204,1.0594063931487752,800000.0,-1754.885480979951,127039.99999999987,0.15879999999999983
11,2008-11-03,2009-02-02,1.1815,1.2423,1.1771205905766458,800000.0,-3503.5275386833932,48639.99999999997,0.060799999999999965
12,2008-12-01,2009-03-02,1.2437,1.2905,1.2386533706746328,800000.0,-4037.3034602938064,37439.99999999996,0.04679999999999995
13,2009-01-01,2009-04-01,1.2204,1.26,1.2182078287553326,800000.0,-1753.7369957338456,31680.000000000065,0.03960000000000008
14,2009-02-02,2009-05-01,1.2423,1.1851,1.240564381408577,800000.0,-1388.494873138413,-45759.999999999935,-0.05719999999999992
15,2009-03-02,2009-06-01,1.2905,1.0907,1.2892438665235728,800000.0,-1004.9067811417344,-159839.99999999997,-0.19979999999999998
16,2009-04-01,2009-07-01,1.26,1.1483,1.2594650216039365,800000.0,-427.98271685082767,-89359.99999999993,-0.11169999999999991
